Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Kudlu,"2,36,803","2,34,065","1,97,098","81,672","80,368","50,108",98.80%,84.20%,41.40%,98.40%,"30,253",37.60%,21.20%,"₹83,78,598",9.02,₹159.12,"4,80,351",12.8889126,77.6555716
Sir M. Vishweshwaraiah,"1,18,310","1,17,288","78,883","70,564","68,993","49,703",99.10%,67.30%,89.50%,97.80%,"19,275",27.90%,42.00%,"₹70,42,823",7.65,₹131.90,"4,16,894",12.9705467,77.6507425
Mattikere,"1,27,532","1,26,489","91,822","74,048","72,560","49,681",99.20%,72.60%,80.60%,98.00%,"22,863",31.50%,39.00%,"₹62,40,282",6.83,₹121.59,"3,55,613",13.03543125,77.56245944742842
Someshwara Ward,"1,35,715","1,34,750","93,900","74,919","73,572","49,328",99.30%,69.70%,79.80%,98.20%,"24,230",32.90%,36.40%,"₹86,45,725",9.86,₹167.44,"5,16,119",12.975667467806815,77.62434018
Kuvempunagar,"1,46,326","1,45,244","1,05,110","75,973","74,164","49,239",99.30%,72.40%,72.30%,97.60%,"24,917",33.60%,33.70%,"₹74,73,265",8.65,₹148.64,"4,40,698",12.9090967,77.6121578
Someshwara Nagar,"2,02,532","2,01,374","1,60,896","84,826","83,617","48,356",99.40%,79.90%,52.70%,98.60%,"35,234",42.10%,23.90%,"₹69,48,587",7.55,₹133.60,"3,98,478",12.975667467806815,77.62434018
Nalvadi Krishnaraja Wadior Park,"1,15,514","1,14,506","75,953","68,469","66,856","48,127",99.10%,66.30%,90.10%,97.60%,"18,727",28.00%,41.70%,"₹70,63,617",8.19,₹140.92,"4,18,340",,
Vishwanath Nagenahalli,"1,54,030","1,53,201","1,18,304","73,656","72,720","47,891",99.50%,77.20%,62.30%,98.70%,"24,812",34.10%,31.10%,"₹65,30,937",6.53,₹119.33,"3,70,828",13.0388225,77.6033449
HAL Airport,"2,11,250","2,09,175","1,69,890","75,050","74,006","47,030",99.00%,81.20%,44.20%,98.60%,"26,966",36.40%,22.30%,"₹74,94,305",8.55,₹151.55,"4,28,553",12.95146575,77.67061749
Vikram Nagar,"1,19,772","1,18,755","89,035","66,520","64,768","45,251",99.20%,75.00%,74.70%,97.40%,"19,502",30.10%,37.80%,"₹58,00,764",7.24,₹129.76,"3,30,132",12.8994971,77.5613308
Dodda Bommasandra,"1,33,094","1,32,125","96,560","68,415","67,164","44,788",99.30%,73.10%,70.90%,98.20%,"22,363",33.30%,33.70%,"₹64,00,370",8.04,₹140.80,"3,73,067",13.0544346,77.55932688865724
Hanumanth Nagar,"1,11,343","1,10,436","78,939","63,637","62,055","44,418",99.20%,71.50%,80.60%,97.50%,"17,619",28.40%,39.90%,"₹51,96,937",6.75,₹118.14,"2,94,931",12.9473478,77.56347763268755
Rajamahal Guttahalli,"1,17,569","1,16,512","90,080","64,358","63,260","44,403",99.10%,77.30%,71.50%,98.30%,"18,841",29.80%,37.80%,"₹53,86,551",6.3,₹113.90,"3,04,299",13.001772899999999,77.57834674179693
Gottigere,"1,22,130","1,21,067","86,790","66,013","64,702","44,306",99.10%,71.70%,76.10%,98.00%,"20,384",31.50%,36.30%,"₹69,70,268",9.04,₹155.56,"4,05,976",12.8565317,77.5877237
Okalipuram,"1,38,471","1,37,027","1,05,136","78,599","77,551","44,243",99.00%,76.70%,74.80%,98.70%,"33,277",42.90%,31.90%,"₹61,59,044",6.79,₹122.73,"3,45,240",12.98239655,77.56483236
Bande Mutt,"1,48,773","1,47,190","93,694","68,336","66,875","43,599",98.90%,63.70%,72.90%,97.90%,"23,253",34.80%,29.30%,"₹65,21,990",8.47,₹149.11,"3,83,759",12.91133335,77.47445008704999
Hosakerehalli,"1,17,622","1,16,813","85,572","69,348","67,711","43,458",99.30%,73.30%,81.00%,97.60%,"24,243",35.80%,37.00%,"₹55,69,815",7.32,₹129.03,"3,21,161",12.9301881,77.5378332
Sriramamandir,"1,03,115","1,02,017","73,067","62,026","60,894","43,222",98.90%,71.60%,84.90%,98.20%,"17,655",29.00%,41.90%,"₹54,02,455",6.58,₹117.45,"3,11,932",12.9849684,77.55760838306867
Chokkasandra,"1,51,979","1,51,264","1,15,735","74,256","73,111","43,081",99.50%,76.50%,64.20%,98.50%,"30,011",41.00%,28.30%,"₹43,69,042",5.01,₹96.47,"2,37,432",13.02694575,77.51752163444843
Tilak Nagar,"1,65,973","1,64,860","1,35,480","73,314","71,905","42,761",99.30%,82.20%,54.10%,98.10%,"29,125",40.50%,25.80%,"₹52,38,333",6.98,₹126.96,"2,89,803",12.9275876,77.5947124
